method,dc_mode,tau,std,inference_valid,baseline_min,negative_fraction,negative_mass,rank,stable_rank,solver,rep,n_rows,n_cols,margin,noise,tau_true,tau_error,pattern,outcome_mode,method_non_neg,std_available,max_negative_magnitude,projected_design_min_eigenvalue,projected_design_condition_number,residual_frobenius_norm,tau_raw,tau_shift
raw,non-convex,0.022679743518544775,0.1600196381843507,True,-0.42149432343979587,0.006944444444444444,0.42149432343979587,2,1.0734901612590653,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.22267974351854478,block,dense,,,,,,,,
nonnegative_svd,non-convex,-0.03611922833205062,,False,0.0,0.0,0.0,3,1.0713086100629154,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.1638807716679494,block,dense,svd,False,-0.0,6.042180722049974,1.0,3.9376735468711743,,
nonnegative_nnmf,non-convex,-0.06732529609043102,,False,0.0,0.0,0.0,2,1.0701435575197917,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.13267470390956898,block,dense,nnmf,False,-0.0,6.238171510497036,1.0,3.9719124169529745,,
final_clip,non-convex,0.010971567867439334,,False,0.0,0.0,0.0,3,1.071970146244309,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.21097156786743934,block,dense,,,,,,,0.022679743518544775,-0.011708175651105442
raw,non-convex,-0.45975383852928586,0.30795779745122737,True,-0.2445211733077266,0.006944444444444444,0.2445211733077266,2,1.0866408869838775,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.25975383852928585,block,dense,,,,,,,,
nonnegative_svd,non-convex,-0.45975372707327317,,False,0.0,0.0,0.0,3,1.0860639532061203,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.25975372707327316,block,dense,svd,False,-0.0,4.97432945558845,1.0,9.076582382893855,,
nonnegative_nnmf,non-convex,-0.47420879593427645,,False,0.0,0.0,0.0,2,1.0853959653000567,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.27420879593427644,block,dense,nnmf,False,-0.0,7.229605377711726,1.0,9.085279655828199,,
final_clip,non-convex,-0.45975383852928586,,False,0.0,0.0,0.0,3,1.086063951780104,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.25975383852928585,block,dense,,,,,,,-0.45975383852928586,0.0
raw,non-convex,0.06292420369409132,0.2341309777898601,True,-0.5662982563744487,0.1875,6.72533082003797,2,1.7578427912148922,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.2629242036940913,block,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.21768891000748156,,False,0.0,0.0,0.0,5,1.6781883079465365,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.017688910007481545,block,intermittent,svd,False,-0.0,1.4697521459307865,1.0,4.782660832774216,,
nonnegative_nnmf,non-convex,-0.22573953446902706,,False,0.0,0.0,0.0,2,1.6746367130823738,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.025739534469027048,block,intermittent,nnmf,False,-0.0,4.073694478281189,1.0,4.8286337087994955,,
final_clip,non-convex,-0.09470358780294394,,False,0.0,0.0,0.0,7,1.6776664989998633,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.10529641219705607,block,intermittent,,,,,,,0.06292420369409132,-0.15762779149703526
raw,non-convex,0.12186727628050154,0.12146346537670721,True,-1.0412909110298005,0.3958333333333333,12.350650701515775,2,1.1136658299326054,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.32186727628050155,block,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.14272666025746014,,False,0.0,0.0,0.0,10,1.0654570209300995,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.05727333974253987,block,intermittent,svd,False,-0.0,0.5281599407957928,1.0,3.4225214249608675,,
nonnegative_nnmf,non-convex,-0.24398560190942628,,False,0.0,0.0,0.0,2,1.0833417254952422,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.04398560190942627,block,intermittent,nnmf,False,-0.0,4.607054446127184,1.0,4.182036930848806,,
final_clip,non-convex,-0.01504920683266984,,False,0.0,0.0,0.0,10,1.0671947939745985,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.18495079316733018,block,intermittent,,,,,,,0.12186727628050154,-0.13691648311317137
raw,non-convex,-0.2586759483919975,0.0987253739028423,True,0.41701688126609815,0.0,0.0,2,1.0349153924573007,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.05867594839199747,sparse,dense,,,,,,,,
nonnegative_svd,non-convex,-0.25867594874483535,,False,0.41701688132252324,0.0,0.0,2,1.034915392457447,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.05867594874483534,sparse,dense,svd,False,-0.0,10.926906162271987,1.0,5.6131401762819815,,
nonnegative_nnmf,non-convex,-0.2589613340438066,,False,0.44646374672700184,0.0,0.0,2,1.0348206106259452,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.0589613340438066,sparse,dense,nnmf,False,-0.0,10.925712588727947,1.0,5.613252383555483,,
final_clip,non-convex,-0.2586759483919975,,False,0.41701688126609815,0.0,0.0,2,1.0349153924573007,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.05867594839199747,sparse,dense,,,,,,,-0.2586759483919975,0.0
raw,non-convex,-0.17985163911570648,0.10762441986716483,True,0.027418052027783357,0.0,0.0,2,1.0627964512826664,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.02014836088429353,sparse,dense,,,,,,,,
nonnegative_svd,non-convex,-0.17985164008699162,,False,0.027418052229794432,0.0,0.0,2,1.062796451270819,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.020148359913008396,sparse,dense,svd,False,-0.0,15.88623697465133,1.0,3.987843423530928,,
nonnegative_nnmf,non-convex,-0.17987737471277157,,False,0.027233401002058007,0.0,0.0,2,1.0627847458324393,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.02012262528722844,sparse,dense,nnmf,False,-0.0,15.886440965326628,1.0,3.9878440904753627,,
final_clip,non-convex,-0.17985163911570648,,False,0.027418052027783357,0.0,0.0,2,1.0627964512826664,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.02014836088429353,sparse,dense,,,,,,,-0.17985163911570648,0.0
raw,non-convex,0.022591125227539376,0.17799569630309342,True,-0.2965098838203636,0.24305555555555555,2.4331023705652024,2,1.5235723338972915,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.22259112522753938,sparse,intermittent,,,,,,,,
nonnegative_svd,non-convex,0.0012557055547788298,,False,0.0,0.0,0.0,11,1.498781374685051,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.20125570555477884,sparse,intermittent,svd,False,-0.0,99396425653.18823,1.0,4.219064080267185,,
nonnegative_nnmf,non-convex,-0.019497634219629478,,False,0.0,0.0,0.0,2,1.492491315897601,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.18050236578037054,sparse,intermittent,nnmf,False,-0.0,12.029097666937847,1.0,4.2742283674438175,,
final_clip,non-convex,0.0099885796463006,,False,0.0,0.0,0.0,10,1.5004551908194932,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.2099885796463006,sparse,intermittent,,,,,,,0.022591125227539376,-0.012602545581238776
