method,dc_mode,outcome_mode,margin,noise,pattern,mean,std,count
final_clip,non-convex,dense,0.05,0.05,block,0.4286107336362032,1.5962007833628862,8
final_clip,non-convex,dense,0.05,0.05,row,0.029403131746073587,0.14814548671643837,8
final_clip,non-convex,dense,0.05,0.05,sparse,0.0636341920312745,0.12504800752691492,8
final_clip,non-convex,dense,0.05,0.05,staggered,0.030224467141850894,0.12158841959997807,8
final_clip,non-convex,dense,0.05,0.2,block,0.5215149919234576,1.4155137562908062,8
final_clip,non-convex,dense,0.05,0.2,row,2.2145078046409523,2.879609061289623,8
final_clip,non-convex,dense,0.05,0.2,sparse,0.03862492778529571,0.1528523128715315,8
final_clip,non-convex,dense,0.05,0.2,staggered,0.007234013119979014,0.11672349163381392,8
final_clip,non-convex,dense,1.0,0.05,block,0.47311947051184905,2.065014724810267,8
final_clip,non-convex,dense,1.0,0.05,row,0.9250347723119827,2.5636247212637318,8
final_clip,non-convex,dense,1.0,0.05,sparse,0.049207769516094124,0.19169674049646107,8
final_clip,non-convex,dense,1.0,0.05,staggered,0.047307719212319826,0.11200903188443162,8
final_clip,non-convex,dense,1.0,0.2,block,0.7356299386061099,2.004786131849958,8
final_clip,non-convex,dense,1.0,0.2,row,0.506860143335464,1.5999795432724517,8
final_clip,non-convex,dense,1.0,0.2,sparse,0.04184583254744398,0.16236245068421695,8
final_clip,non-convex,dense,1.0,0.2,staggered,-0.09481804306618989,0.2840818719508026,8
final_clip,non-convex,intermittent,0.05,0.05,block,0.08079875408077103,0.060405451904274585,8
final_clip,non-convex,intermittent,0.05,0.05,row,0.09734861647658931,0.05510507770765334,8
final_clip,non-convex,intermittent,0.05,0.05,sparse,0.055063178228548615,0.10305017650702972,8
final_clip,non-convex,intermittent,0.05,0.05,staggered,-0.01188807494259043,0.11066731508984905,8
final_clip,non-convex,intermittent,0.05,0.2,block,0.030567948926136186,0.0863208806428188,8
final_clip,non-convex,intermittent,0.05,0.2,row,-0.04164348492516484,0.16686880038894786,8
final_clip,non-convex,intermittent,0.05,0.2,sparse,0.0549366173454383,0.08338493643071003,8
final_clip,non-convex,intermittent,0.05,0.2,staggered,0.164250118480678,0.14233471041222018,8
final_clip,non-convex,intermittent,1.0,0.05,block,0.03664308717425751,0.08604363452373966,8
final_clip,non-convex,intermittent,1.0,0.05,row,0.001868269345944239,0.098859599193351,8
final_clip,non-convex,intermittent,1.0,0.05,sparse,0.07320102076105552,0.07834136519558114,8
final_clip,non-convex,intermittent,1.0,0.05,staggered,0.07285539658902532,0.09269569086182028,8
final_clip,non-convex,intermittent,1.0,0.2,block,0.001121888828753196,0.12699842188184834,8
final_clip,non-convex,intermittent,1.0,0.2,row,0.041349244386729794,0.07456562604648409,8
final_clip,non-convex,intermittent,1.0,0.2,sparse,0.01667643762375136,0.08671875277210614,8
final_clip,non-convex,intermittent,1.0,0.2,staggered,0.10230285061518421,0.11443403751066646,8
nonnegative_nnmf,non-convex,dense,0.05,0.05,block,-0.10736728462638405,0.21546218153160052,8
nonnegative_nnmf,non-convex,dense,0.05,0.05,row,0.029011976354974302,0.14813370882742224,8
nonnegative_nnmf,non-convex,dense,0.05,0.05,sparse,0.06420378878869323,0.1261831247351056,8
nonnegative_nnmf,non-convex,dense,0.05,0.05,staggered,0.029939634065663676,0.12168514558304401,8
nonnegative_nnmf,non-convex,dense,0.05,0.2,block,-0.09563898302710441,0.6765674861904313,8
nonnegative_nnmf,non-convex,dense,0.05,0.2,row,0.13356615670411257,0.2197515511704603,8
nonnegative_nnmf,non-convex,dense,0.05,0.2,sparse,0.035962192650234946,0.15283305701226005,8
nonnegative_nnmf,non-convex,dense,0.05,0.2,staggered,0.005707820057521202,0.11564814799730831,8
nonnegative_nnmf,non-convex,dense,1.0,0.05,block,-0.10952137037126408,0.504082627275113,8
nonnegative_nnmf,non-convex,dense,1.0,0.05,row,0.023462533611931444,0.10648486112752957,8
nonnegative_nnmf,non-convex,dense,1.0,0.05,sparse,0.04903207865171407,0.19152427945491707,8
nonnegative_nnmf,non-convex,dense,1.0,0.05,staggered,0.04706302620079229,0.11193957430427859,8
nonnegative_nnmf,non-convex,dense,1.0,0.2,block,0.11363781890217238,0.2878755463304798,8
nonnegative_nnmf,non-convex,dense,1.0,0.2,row,-0.05436139661717827,0.19577960438890094,8
nonnegative_nnmf,non-convex,dense,1.0,0.2,sparse,0.04170837701672943,0.1623909261827566,8
nonnegative_nnmf,non-convex,dense,1.0,0.2,staggered,-0.09512963773188543,0.28399703219305544,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.05,block,-0.021707156683637374,0.03660953634378058,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.05,row,0.026255468761546184,0.04235396309188008,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.05,sparse,0.013637084230912278,0.12757970295637977,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.05,staggered,-0.06495884760458658,0.10061065865787175,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.2,block,-0.05963462562463615,0.07246652219047275,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.2,row,-0.1484557929883373,0.118834154920513,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.2,sparse,-0.0076959881229899905,0.08602861347655755,8
nonnegative_nnmf,non-convex,intermittent,0.05,0.2,staggered,0.01844499636610145,0.13082333063757007,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.05,block,-0.014685064332037041,0.07246706499122599,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.05,row,-0.03645594554237759,0.06581778819634548,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.05,sparse,0.03022808581021177,0.051939653518315664,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.05,staggered,0.0182533785525628,0.05707112008644753,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.2,block,-0.07639194123784916,0.08641837705192362,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.2,row,-0.08761673976719483,0.09169543765949875,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.2,sparse,-0.029524265570175026,0.08597113982652972,8
nonnegative_nnmf,non-convex,intermittent,1.0,0.2,staggered,-0.01937254816470372,0.07703302297665152,8
nonnegative_svd,non-convex,dense,0.05,0.05,block,-0.10125457195915628,0.21922862688096134,8
nonnegative_svd,non-convex,dense,0.05,0.05,row,0.029403188092002076,0.14814542634067968,8
nonnegative_svd,non-convex,dense,0.05,0.05,sparse,0.0636341920930785,0.12504800666095972,8
nonnegative_svd,non-convex,dense,0.05,0.05,staggered,0.030224497682897644,0.12158850442567955,8
nonnegative_svd,non-convex,dense,0.05,0.2,block,-0.09468866296345618,0.6767560187291841,8
nonnegative_svd,non-convex,dense,0.05,0.2,row,0.734148488854798,1.666013402870822,8
nonnegative_svd,non-convex,dense,0.05,0.2,sparse,0.03862492537101102,0.15285231293401744,8
nonnegative_svd,non-convex,dense,0.05,0.2,staggered,0.006788550654148007,0.11626254525457076,8
nonnegative_svd,non-convex,dense,1.0,0.05,block,-0.10915168318943083,0.5040066338610196,8
nonnegative_svd,non-convex,dense,1.0,0.05,row,0.8024799103006888,2.2173299620172497,8
nonnegative_svd,non-convex,dense,1.0,0.05,sparse,0.049207767620054244,0.19169674028622272,8
nonnegative_svd,non-convex,dense,1.0,0.05,staggered,0.04730769514603421,0.11200907009157653,8
nonnegative_svd,non-convex,dense,1.0,0.2,block,0.6919980906642713,1.8817932516998441,8
nonnegative_svd,non-convex,dense,1.0,0.2,row,0.4601523801143111,1.4689514322492416,8
nonnegative_svd,non-convex,dense,1.0,0.2,sparse,0.04184583768664318,0.16236244985483048,8
nonnegative_svd,non-convex,dense,1.0,0.2,staggered,-0.09481806676453608,0.2840818726772283,8
nonnegative_svd,non-convex,intermittent,0.05,0.05,block,0.013579311783186096,0.03838336668614319,8
nonnegative_svd,non-convex,intermittent,0.05,0.05,row,0.05826134893404945,0.04936629638152483,8
nonnegative_svd,non-convex,intermittent,0.05,0.05,sparse,0.0437944476325377,0.1066741357707542,8
nonnegative_svd,non-convex,intermittent,0.05,0.05,staggered,-0.05334645358832099,0.11095277023347089,8
nonnegative_svd,non-convex,intermittent,0.05,0.2,block,-0.005438085302910921,0.08217000829757595,8
nonnegative_svd,non-convex,intermittent,0.05,0.2,row,-0.10365754142301117,0.1488372423135576,8
nonnegative_svd,non-convex,intermittent,0.05,0.2,sparse,0.03428390202758648,0.08216509327163213,8
nonnegative_svd,non-convex,intermittent,0.05,0.2,staggered,0.1012905113176226,0.15364407428206267,8
nonnegative_svd,non-convex,intermittent,1.0,0.05,block,-0.0043453832247544386,0.08758193148940138,8
nonnegative_svd,non-convex,intermittent,1.0,0.05,row,-0.02442831867585149,0.07304527698409283,8
nonnegative_svd,non-convex,intermittent,1.0,0.05,sparse,0.059828665427540326,0.07268017838015371,8
nonnegative_svd,non-convex,intermittent,1.0,0.05,staggered,0.025091175019207504,0.0765113614539748,8
nonnegative_svd,non-convex,intermittent,1.0,0.2,block,-0.04243287713711222,0.10813580328100454,8
nonnegative_svd,non-convex,intermittent,1.0,0.2,row,-0.019335119312994434,0.08718734216489268,8
nonnegative_svd,non-convex,intermittent,1.0,0.2,sparse,0.0071950106953806905,0.0845271170743385,8
nonnegative_svd,non-convex,intermittent,1.0,0.2,staggered,0.04244302440260815,0.08535852343331664,8
raw,non-convex,dense,0.05,0.05,block,1.1551777582300575,3.6392900959235535,8
raw,non-convex,dense,0.05,0.05,row,0.029403131746073584,0.14814548671643837,8
raw,non-convex,dense,0.05,0.05,sparse,0.06363419203127449,0.12504800752691492,8
raw,non-convex,dense,0.05,0.05,staggered,0.030224467141850894,0.12158841959997811,8
raw,non-convex,dense,0.05,0.2,block,2.973324888921261,8.26627296866664,8
raw,non-convex,dense,0.05,0.2,row,5.540365999673248,7.451178659246146,8
raw,non-convex,dense,0.05,0.2,sparse,0.03862492778529571,0.1528523128715315,8
raw,non-convex,dense,0.05,0.2,staggered,0.0073613850569866565,0.11685745513033756,8
raw,non-convex,dense,1.0,0.05,block,2.1254759021036533,6.721884695188479,8
raw,non-convex,dense,1.0,0.05,row,2.340784020445058,6.566631886528799,8
raw,non-convex,dense,1.0,0.05,sparse,0.049207769516094124,0.19169674049646107,8
raw,non-convex,dense,1.0,0.05,staggered,0.047307719212319826,0.11200903188443162,8
raw,non-convex,dense,1.0,0.2,block,2.759765352171213,7.725199650838676,8
raw,non-convex,dense,1.0,0.2,row,2.237157761494308,6.484935334734953,8
raw,non-convex,dense,1.0,0.2,sparse,0.04184583254744399,0.16236245068421698,8
raw,non-convex,dense,1.0,0.2,staggered,-0.09481804306618989,0.2840818719508026,8
