outcome_mode,margin,noise,pattern,tau_error_raw_mean,tau_error_raw_std,tau_error_projected_mean,tau_error_projected_std,tau_shift_mean,tau_shift_std,clipped_fraction_mean,clipped_fraction_std
dense,0.05,0.05,block,-0.037219686483432345,0.19383920089257917,-0.037219686483432345,0.19383920089257917,0.0,0.0,0.0,0.0
dense,0.05,0.05,row,0.04167534487139887,0.13981479701596614,0.04167534487139887,0.13981479701596614,0.0,0.0,0.0,0.0
dense,0.05,0.05,sparse,0.02484263626911991,0.08617910696778935,0.02484263626911991,0.08617910696778935,0.0,0.0,0.0,0.0
dense,0.05,0.05,staggered,-0.07089230857313056,0.22490662223687227,-0.07089230857313056,0.22490662223687227,0.0,0.0,0.0,0.0
dense,0.05,0.2,block,-0.30789649796335816,0.6922811819925124,-0.30789649796335816,0.6922811819925124,0.0,0.0,0.0,0.0
dense,0.05,0.2,row,0.05861733694605567,0.2386065476650201,0.05861733694605567,0.2386065476650201,0.0,0.0,0.0008680555555555555,0.0024552318791199565
dense,0.05,0.2,sparse,0.06222427627758378,0.06871135140092155,0.06222427627758378,0.06871135140092155,0.0,0.0,0.0,0.0
dense,0.05,0.2,staggered,0.008603782091225535,0.14472512024450476,0.008603782091225535,0.14472512024450476,0.0,0.0,0.0,0.0
dense,1.0,0.05,block,0.02395609760206465,0.03354514669721209,0.02395609760206465,0.03354514669721209,0.0,0.0,0.0,0.0
dense,1.0,0.05,row,0.04364769473716497,0.11071505059434228,0.04364769473716497,0.11071505059434228,0.0,0.0,0.0,0.0
dense,1.0,0.05,sparse,-0.027430643660482236,0.07648864842289849,-0.027430643660482236,0.07648864842289849,0.0,0.0,0.0,0.0
dense,1.0,0.05,staggered,0.014109330610850873,0.1444720450907108,0.014109330610850873,0.1444720450907108,0.0,0.0,0.0,0.0
dense,1.0,0.2,block,-0.09983042904867903,0.20072543155301176,-0.09983042904867903,0.20072543155301176,0.0,0.0,0.0,0.0
dense,1.0,0.2,row,0.12210582447916361,0.15845017498206831,0.12210582447916361,0.15845017498206831,0.0,0.0,0.0,0.0
dense,1.0,0.2,sparse,0.037718027565815784,0.06385388261588545,0.037718027565815784,0.06385388261588545,0.0,0.0,0.0,0.0
dense,1.0,0.2,staggered,-0.04603908879929652,0.22650262225479803,-0.04603908879929652,0.22650262225479803,0.0,0.0,0.0,0.0
intermittent,0.05,0.05,block,-0.026255249247791917,0.20922136074577508,-0.03838153505079624,0.20078246248932657,-0.012126285803004316,0.011114485450041975,0.10552083333333334,0.01614694803286411
intermittent,0.05,0.05,row,-0.14350238152015377,0.21818462414362533,-0.1668973693554949,0.22324238134800636,-0.023394987835341146,0.02245669394130662,0.10923611111111112,0.02951390056022178
intermittent,0.05,0.05,sparse,-0.02992464190600399,0.07385869318188788,-0.04648035222113703,0.07318379144081985,-0.016555710315133036,0.008363823264342036,0.11559027777777778,0.02432213153593861
intermittent,0.05,0.05,staggered,0.0016873335001894273,0.18784276086749552,-0.0073967494453143,0.1842120536632346,-0.00908408294550373,0.009018196788771313,0.09434027777777779,0.031128445248928195
intermittent,0.05,0.2,block,0.08061638448306463,0.2252656217715792,0.036331751273560885,0.1926138687220506,-0.044284633209503745,0.06845080935911715,0.13684027777777777,0.03482095090795251
intermittent,0.05,0.2,row,-0.13365982053766912,0.19042846215261686,-0.14485075134579836,0.18844466245300018,-0.011190930808129244,0.01143742583863019,0.10680555555555556,0.021405116499231644
intermittent,0.05,0.2,sparse,0.00885496511895717,0.1276308826727815,-0.01121545883473728,0.13322168378555435,-0.020070423953694447,0.01757512968656861,0.12663194444444445,0.0343651280517636
intermittent,0.05,0.2,staggered,0.03899498520610267,0.13612759705457048,0.015359577400136104,0.13423826585378085,-0.023635407805966572,0.009271540928049063,0.11902777777777777,0.02538547613477173
intermittent,1.0,0.05,block,0.13935276776769429,0.29495626719395207,0.12809031464786275,0.2994802011150589,-0.011262453119831524,0.009356129738857674,0.0971875,0.031515035709158874
intermittent,1.0,0.05,row,0.016750804513119714,0.280940219209591,-0.00022010111116352316,0.27404935820956466,-0.016970905624283238,0.010633951982918916,0.10375,0.017932732430285845
intermittent,1.0,0.05,sparse,-0.014467956813310829,0.05396965964428019,-0.030536860424281744,0.058725476630955495,-0.016068903610970915,0.012594460948618677,0.1267361111111111,0.02311392973501942
intermittent,1.0,0.05,staggered,0.07967291749727665,0.09549912986495149,0.06711295260265054,0.0983172972547098,-0.012559964894626099,0.012998416209338714,0.10069444444444445,0.02866826622829074
intermittent,1.0,0.2,block,0.11600415956878468,0.42521129717935996,0.0766582862676074,0.37464445749709807,-0.0393458733011773,0.05582040015982148,0.13694444444444442,0.04081051624681523
intermittent,1.0,0.2,row,-0.13644195555235608,0.29445254325268455,-0.14311418887037528,0.2889903743333596,-0.006672233318019213,0.00832155455411351,0.10076388888888889,0.03889306950317998
intermittent,1.0,0.2,sparse,0.03198443609561334,0.07389738869240756,0.01027695540493969,0.07762307961431068,-0.02170748069067365,0.013463054623838365,0.13243055555555555,0.030817688723711986
intermittent,1.0,0.2,staggered,-0.007492001976716685,0.18541197560186198,-0.02737591523877377,0.18138240687328672,-0.01988391326205708,0.0273375523244518,0.12541666666666668,0.029224998359290443
